inferred_cell_type,sequence_file.insdc_run_accessions,cell_suspension.biomaterial_core.biomaterial_id,cell_suspension.provenance.document_id
pancreatic D cell,SRR3564174,GSM2173846 1,8350a6c8-60f5-48e6-885b-db459eb6e5f0
acinar cell,SRR3564175,GSM2173847 1,7af9ae7a-45be-4005-b357-f82a314c1261
pancreatic D cell,SRR3564176,GSM2173848 1,7de6bfff-0302-4b00-bd41-ffb38fa82187
pancreatic A cell,SRR3564177,GSM2173849 1,98994267-ff96-4502-aaa0-d4d277073974
pancreatic ductal cell,SRR3564178,GSM2173850 1,bc1502fd-8703-4293-a6a5-fef5d8c9b6a6
pancreatic ductal cell,SRR3564179,GSM2173851 1,b8297659-4ca4-42a9-9094-a93f3bfd611d
pancreatic ductal cell,SRR3564180,GSM2173852 1,2841a46c-8069-4ae1-b96f-8fe5e2c9c717
pancreatic D cell,SRR3564181,GSM2173853 1,379d999d-3c31-4b79-b926-3b5e54985351
acinar cell,SRR3564182,GSM2173854 1,2fab55b8-fdf4-4046-a7f2-a32ac1963631
pancreatic A cell,SRR3564183,GSM2173855 1,cb60055f-bfa5-4fe1-b4c8-91963edef01e
pancreatic A cell,SRR3564184,GSM2173856 1,aa7314b1-181b-4b51-bdde-905062e2c1cc
pancreatic ductal cell,SRR3564185,GSM2173857 1,65daa72d-baee-43ba-a9bf-65c60234a951
acinar cell,SRR3564186,GSM2173858 1,a5c3a8a1-ba0e-4b79-92e5-1d6c65f17f14
pancreatic ductal cell,SRR3564187,GSM2173859 1,9ef845ab-b10c-4d88-be96-e8ebf84787e4
pancreatic ductal cell,SRR3564188,GSM2173860 1,f3aefb80-525b-4fec-98fb-9756216c4539
pancreatic D cell,SRR3564189,GSM2173861 1,4a97815a-7cdd-4438-b676-4649b2ecb275
type B pancreatic cell,SRR3564190,GSM2173862 1,b1fdb2e8-a28d-4a0c-bdfe-989de7b068a3
type B pancreatic cell,SRR3564191,GSM2173863 1,feb716f7-d8d1-4f90-8fef-5efe32dcf73f
pancreatic A cell,SRR3564192,GSM2173864 1,633cccfc-80f1-4c52-92ae-0dc0da7bc582
acinar cell,SRR3564193,GSM2173865 1,86d2592c-aa05-421b-ae79-b8b11b521a10
pancreatic D cell,SRR3564194,GSM2173866 1,54497013-88a2-4fe4-9c64-c751ffc30b24
acinar cell,SRR3564195,GSM2173867 1,555cf5c9-acdf-4632-be6c-9ea2511a39c6
pancreatic A cell,SRR3564196,GSM2173868 1,ac61447d-2e22-4ad7-a72e-da694692dc05
pancreatic A cell,SRR3564197,GSM2173869 1,8c1e3805-3209-4b55-8324-e0e69a4d788e
not available,SRR3564198,GSM2173870 1,e209f0e2-c679-405d-b8c9-074034ed4db3
acinar cell,SRR3564199,GSM2173871 1,bae7acd2-bef5-4d9d-9ec9-5e30fcd61d1f
pancreatic A cell,SRR3564200,GSM2173872 1,12dfe175-f684-4b06-ade1-5ead42e15bf6
pancreatic A cell,SRR3564201,GSM2173873 1,5f2f3bf9-3e83-40e4-851b-4639ca9af325
pancreatic A cell,SRR3564202,GSM2173874 1,0737e5f5-f3a1-45f0-a636-3d3c0a8d2f63
pancreatic A cell,SRR3564203,GSM2173875 1,ce4b16ff-b40d-4fff-b2b5-e64c1f2affd9
pancreatic A cell,SRR3564204,GSM2173876 1,5cbf6525-5b2c-46de-a415-db7b51a9bbd2
pancreatic A cell,SRR3564205,GSM2173877 1,c9fd8fa1-4f2e-4ed3-a092-c05456cba8e6
pancreatic A cell,SRR3564206,GSM2173878 1,0b10794f-90c3-4bf9-b136-dac3233eef1f
pancreatic A cell,SRR3564207,GSM2173879 1,31856d8c-3809-487b-ba21-a47b2bf7b31c
type B pancreatic cell,SRR3564208,GSM2173880 1,4586e141-ecf7-4fae-a532-4614362eec3e
pancreatic A cell,SRR3564209,GSM2173881 1,0091cabd-cf99-46b5-8cd2-0532fdcb34c4
pancreatic ductal cell,SRR3564210,GSM2173882 1,85987f22-12f6-4f11-80d8-a0d466115c5c
pancreatic A cell,SRR3564211,GSM2173883 1,b5c92623-b3f5-4340-aa68-f4ed412eabab
pancreatic A cell,SRR3564212,GSM2173884 1,e905e7a3-3861-4d6b-8a7a-7fa55ee0f3e6
pancreatic A cell,SRR3564213,GSM2173885 1,1d1ef295-ae6f-4a67-a1b9-395a5cf02b01
pancreatic A cell,SRR3564214,GSM2173886 1,803a8360-6e72-4f53-b04c-47d31672187d
acinar cell,SRR3564215,GSM2173887 1,16afdafd-751d-4c65-a5fb-ed8b41d392a1
acinar cell,SRR3564216,GSM2173888 1,4be3e50e-3dbd-4589-a2eb-220f66859b86
pancreatic A cell,SRR3564217,GSM2173889 1,4d8eff08-bbf8-4e78-94ca-756be1ada1bc
acinar cell,SRR3564218,GSM2173890 1,2351853b-a31f-44c2-bbaa-79624fdbfa42
pancreatic A cell,SRR3564219,GSM2173891 1,231132d1-3860-44e4-a208-9d6e20b12ef5
pancreatic A cell,SRR3564220,GSM2173892 1,98a1058e-c367-4736-b260-eda81123f87b
not available,SRR3564221,GSM2173893 1,68237cad-5e31-47f6-aae0-2fff426617f7
pancreatic A cell,SRR3564222,GSM2173894 1,85fc3086-87b8-499d-9655-5a1e6fd76973
pancreatic A cell,SRR3564223,GSM2173895 1,e4a969e4-7a18-44eb-bf91-8e5d37f34e5c
pancreatic A cell,SRR3564224,GSM2173896 1,c2574e4f-8c74-4025-95bc-b87dc18816bd
type B pancreatic cell,SRR3564225,GSM2173897 1,aa5b2763-b8b6-4af7-871e-6f32c7aabe54
pancreatic A cell,SRR3564226,GSM2173898 1,ab28d551-54d5-4646-8c86-8e6ab10ce458
pancreatic ductal cell,SRR3564227,GSM2173899 1,7e627268-7ff9-40eb-97f8-19c6689e7f3d
type B pancreatic cell,SRR3564228,GSM2173900 1,208c659b-fcee-434f-9030-e83e68a37687
pancreatic D cell,SRR3564229,GSM2173901 1,609d9f4b-a071-4240-adce-bce4a8232652
pancreatic A cell,SRR3564230,GSM2173902 1,8d125cb3-562a-456e-be2a-f34cc6030b89
type B pancreatic cell,SRR3564231,GSM2173903 1,c7d571bc-141a-4722-93f0-daf1559216c9
pancreatic A cell,SRR3564232,GSM2173904 1,84095ea6-0b12-42b7-84bf-65f53622c683
pancreatic A cell,SRR3564233,GSM2173905 1,3a595c91-5acc-4a5a-9487-aab961fd13f7
pancreatic ductal cell,SRR3564234,GSM2173906 1,ab9e917f-5780-4255-bd15-8e3c555a0b73
pancreatic A cell,SRR3564235,GSM2173907 1,4ef6722c-189e-47bb-8cb1-9c5fac862be6
pancreatic A cell,SRR3564236,GSM2173908 1,8b96000a-5476-4bb2-aaf4-e769b1315f8d
type B pancreatic cell,SRR3564237,GSM2173909 1,d7d8475f-b5fb-4853-bc37-27a1c28b79ae
type B pancreatic cell,SRR3564238,GSM2173910 1,e5cceff8-d49e-4635-8d0f-719561251b56
not available,SRR3564239,GSM2173911 1,92e83b62-4e49-477a-9b55-1d09c52b2e91
pancreatic A cell,SRR3564240,GSM2173912 1,b6a32981-3936-4c3b-9f55-844f43d06695
pancreatic A cell,SRR3564241,GSM2173913 1,7bc8051e-badd-40d9-a553-32176e02948e
pancreatic A cell,SRR3564242,GSM2173914 1,50f0ffa7-b421-41cb-a028-4f496e7e351d
pancreatic A cell,SRR3564243,GSM2173915 1,4757cea1-7264-461a-8b81-60e089469077
pancreatic A cell,SRR3564244,GSM2173916 1,1930951a-e467-4a35-8bab-ea03944f0ee8
pancreatic A cell,SRR3564245,GSM2173917 1,b57c0830-6381-432b-937a-4313bbf31d48
pancreatic ductal cell,SRR3564246,GSM2173918 1,ba3840da-bc87-4279-8d94-13f66998fd07
type B pancreatic cell,SRR3564247,GSM2173919 1,bb22219c-e561-46ef-8906-405cbc010792
type B pancreatic cell,SRR3564248,GSM2173920 1,c28612b0-20b8-4b24-8635-7f003b32791b
pancreatic A cell,SRR3564249,GSM2173921 1,19671a94-eebe-438e-ab37-cab8f1f64e54
pancreatic ductal cell,SRR3564250,GSM2173922 1,b80a672c-2f6d-48f0-af35-5c6ee189fc35
pancreatic A cell,SRR3564251,GSM2173923 1,20b407a7-8337-4958-a86f-6c5ed0cfa44f
type B pancreatic cell,SRR3564252,GSM2173924 1,b8a3bbc1-dacf-49f4-a0e8-7370613ea172
pancreatic A cell,SRR3564253,GSM2173925 1,8b5e3778-c248-4793-becc-c47af4d588e8
pancreatic A cell,SRR3564254,GSM2173926 1,3b9f8549-8773-4ab4-bb3a-e657c84448dd
pancreatic A cell,SRR3564255,GSM2173927 1,e9ad7a27-d6fc-4dd2-8027-5072e9d66465
pancreatic A cell,SRR3564256,GSM2173928 1,08c21b09-e97f-4512-a7c7-d74897459f02
pancreatic A cell,SRR3564257,GSM2173929 1,f6733ccc-2031-4be9-a5b5-4b754f6a98d9
type B pancreatic cell,SRR3564258,GSM2173930 1,2803ec0a-f6ca-4ee3-a033-53494881bbfb
pancreatic A cell,SRR3564259,GSM2173931 1,c0b68b18-b7bf-4c68-8dd9-d3b2c98e9274
pancreatic A cell,SRR3564260,GSM2173932 1,ddda119d-6d46-411e-8501-e4bc7ed58a05
type B pancreatic cell,SRR3564261,GSM2173933 1,73906399-7b45-4948-a742-55b654f61075
acinar cell,SRR3564262,GSM2173934 1,56247d9c-c5e8-44b5-93f7-23098e813f0a
acinar cell,SRR3564263,GSM2173935 1,85cee9c9-7c46-403f-91a1-c16673eb848f
pancreatic A cell,SRR3564264,GSM2173936 1,6d43946e-53cc-49c7-81ea-c68197345fcc
acinar cell,SRR3564265,GSM2173937 1,bf9b8c56-d2d0-4191-a888-759e672a40a8
type B pancreatic cell,SRR3564266,GSM2173938 1,4a72ba13-0085-4732-9d0c-cb4af83aad44
pancreatic A cell,SRR3564267,GSM2173939 1,f251cf66-d53e-48d2-894d-dc50dc1e70af
pancreatic A cell,SRR3564268,GSM2173940 1,85904094-0907-4854-8fe8-a4f8e2a3d9d6
type B pancreatic cell,SRR3564269,GSM2173941 1,794e6a20-7f83-4e18-8ac9-aeab115f1526
pancreatic A cell,SRR3564270,GSM2173942 1,3c2180aa-0aa4-411f-98dc-73ef87b447ed
type B pancreatic cell,SRR3564271,GSM2173943 1,d64d7a91-5864-4914-93f8-51da0e72ea07
pancreatic A cell,SRR3564272,GSM2173944 1,426296f6-dec2-443e-b454-5f76eddb4c63
pancreatic A cell,SRR3564273,GSM2173945 1,382872fd-15af-42ab-a478-93b38f299d93
pancreatic A cell,SRR3564274,GSM2173946 1,75d3cd0a-0383-4ae7-9af6-b46b767fabb5
not available,SRR3564275,GSM2173947 1,3342911a-c83f-46cd-9d8d-bc3531b55776
pancreatic A cell,SRR3564276,GSM2173948 1,e85a9eb8-c19b-4b48-be3e-92d4edc20d42
pancreatic A cell,SRR3564277,GSM2173949 1,f67c081f-758b-4049-96d5-a05501fce69e
pancreatic A cell,SRR3564278,GSM2173950 1,b429c065-92a8-41b3-befb-95c9622ef8b2
type B pancreatic cell,SRR3564279,GSM2173951 1,8f30952b-e594-48c1-ad85-692c5680abad
pancreatic A cell,SRR3564280,GSM2173952 1,5bcf9fc9-8661-4431-9e7d-a6f6172b39af
type B pancreatic cell,SRR3564281,GSM2173953 1,e1ec9424-4f93-4133-a731-d72a5fc94d09
pancreatic A cell,SRR3564282,GSM2173954 1,f6a5071f-6892-4849-a4b8-746c3174d726
acinar cell,SRR3564283,GSM2173955 1,46e785b0-8c90-4c59-a17d-bfc4e5d0e751
pancreatic A cell,SRR3564284,GSM2173956 1,3e19bfde-57c0-4788-8545-1ae6b8e16e6c
pancreatic A cell,SRR3564285,GSM2173957 1,401d8b40-e130-4fbd-b898-21c36b2912cc
pancreatic A cell,SRR3564286,GSM2173958 1,99f03101-1fa1-40c4-ab59-fd11a6d00ec6
acinar cell,SRR3564287,GSM2173959 1,b700a524-c119-44e9-a095-200dd6af997b
pancreatic A cell,SRR3564288,GSM2173960 1,891c6965-da2c-4e43-a741-06cc07a25848
pancreatic A cell,SRR3564289,GSM2173961 1,15801f27-d991-4a01-abf1-c74e2c895fde
type B pancreatic cell,SRR3564290,GSM2173962 1,baa4ad6d-505f-4eb2-aa38-b2052a2965ad
pancreatic A cell,SRR3564291,GSM2173963 1,e3c6951a-3d85-4148-a3f4-ed16ee0e5a3f
pancreatic A cell,SRR3564292,GSM2173964 1,03734741-f84d-483f-b7fa-ce4fd6f2c75b
pancreatic A cell,SRR3564293,GSM2173965 1,101af874-11e6-4b44-8249-29d530636a73
pancreatic A cell,SRR3564294,GSM2173966 1,690ef759-c09c-4f7c-9de1-20325d6e49e3
pancreatic A cell,SRR3564295,GSM2173967 1,69995dd3-e530-4f2f-af97-7ecbe523ddbc
not available,SRR3564296,GSM2173968 1,db32babc-0220-4315-baab-bdb503b74ba0
pancreatic ductal cell,SRR3564297,GSM2173969 1,85ae5926-26e1-430a-9342-83b8e331679e
not available,SRR3564298,GSM2173970 1,0f3e5841-51f0-4b65-8cf7-3a3826cbbcee
pancreatic A cell,SRR3564299,GSM2173971 1,c6c75f31-8447-48fd-b2e3-29ac0c8f540e
pancreatic A cell,SRR3564300,GSM2173972 1,d20861a1-92bf-43b4-9f3d-dae2fee1695d
pancreatic A cell,SRR3564301,GSM2173973 1,53b8a68f-88d2-4795-a67a-9ae2325661e0
type B pancreatic cell,SRR3564302,GSM2173974 1,b81103b8-c847-46ee-9a31-7ec6502b514a
pancreatic A cell,SRR3564303,GSM2173975 1,76eb2b07-4292-4565-8c6f-c4b9883fb468
acinar cell,SRR3564304,GSM2173976 1,b5e41112-206d-44db-bdaf-c4db88155eff
pancreatic A cell,SRR3564305,GSM2173977 1,694bc8a2-eacb-4d2b-b081-313bac399acb
pancreatic A cell,SRR3564306,GSM2173978 1,32139210-2697-4403-90cd-b6cb79c44403
pancreatic A cell,SRR3564307,GSM2173979 1,878744c2-25b6-402c-a0d6-317ac1d6115c
pancreatic A cell,SRR3564308,GSM2173980 1,0fc6bed2-ee42-4c7b-a6b1-4528dcf430a0
pancreatic A cell,SRR3564309,GSM2173981 1,2321be9e-60c1-4eb1-a61c-f6f5e23c7efe
pancreatic A cell,SRR3564310,GSM2173982 1,7831d033-0668-4730-b373-a3b96ddc7329
mesenchymal cell,SRR3564311,GSM2173983 1,201a3e8b-83b9-4ef5-9b0f-c1aa47defc6d
pancreatic ductal cell,SRR3564312,GSM2173984 1,1f6bf94c-44ca-45ec-9ade-8a289cdc7265
pancreatic A cell,SRR3564313,GSM2173985 1,768185e1-2ecf-4416-8eab-5bb53ab61cc2
acinar cell,SRR3564314,GSM2173986 1,087a8cb1-0a25-48df-ad73-271b47944d3c
pancreatic A cell,SRR3564315,GSM2173987 1,ca9752e6-31c2-40c5-ad91-5c516aa60c41
pancreatic A cell,SRR3564316,GSM2173988 1,cf7d607f-971f-4ae9-8ff0-c860fba41dbc
pancreatic A cell,SRR3564317,GSM2173989 1,51c49bd8-c63a-4f4c-8248-c05856de35c5
acinar cell,SRR3564318,GSM2173990 1,5cf5f5d0-2812-4312-a25f-b82597acd355
pancreatic ductal cell,SRR3564319,GSM2173991 1,745d7cca-96ca-47b2-98cd-0c0daeb82273
acinar cell,SRR3564320,GSM2173992 1,05d63911-9e70-46cd-8203-84ed0706552e
pancreatic A cell,SRR3564321,GSM2173993 1,8e430b0b-8fa1-43e8-98d4-27010a8eaec8
pancreatic A cell,SRR3564322,GSM2173994 1,ff432d32-c7af-4350-adf5-3775cb0f82ea
pancreatic D cell,SRR3564323,GSM2173995 1,656b6cc6-8cca-4ac9-80b4-a85ce78d4e81
pancreatic A cell,SRR3564324,GSM2173996 1,258fb106-54c7-4fac-babb-31b927489804
not available,SRR3564325,GSM2173997 1,5b4225cd-7c03-4f79-8f77-a71d6dd06b5e
not available,SRR3564326,GSM2173998 1,5c5e5ceb-014d-4ba8-aa15-f526a672a74b
type B pancreatic cell,SRR3564327,GSM2173999 1,ab543b8b-33a8-4e3b-a0c2-d37969b63fb3
pancreatic A cell,SRR3564328,GSM2174000 1,75aef658-debf-4bcc-a8f1-f99e8884e4d6
mesenchymal cell,SRR3564329,GSM2174001 1,25040088-917d-4d87-9445-6539f5117256
acinar cell,SRR3564330,GSM2174002 1,0fc98ee4-e625-4804-8d79-e4ded1404933
mesenchymal cell,SRR3564331,GSM2174003 1,ce198f9e-89c9-4dea-a828-df04b291e95c
pancreatic A cell,SRR3564332,GSM2174004 1,363b02b0-9287-44f4-a948-2a0f96f54224
type B pancreatic cell,SRR3564333,GSM2174005 1,1ec9141d-7f9e-46cd-8229-8d6cf1b1d103
pancreatic A cell,SRR3564334,GSM2174006 1,5936dde1-488a-46ef-bcc8-d3689f8c750d
pancreatic A cell,SRR3564335,GSM2174007 1,b8af0e48-09ac-4973-996d-5bc5f39d9055
pancreatic A cell,SRR3564336,GSM2174008 1,62eb9cb8-7e7d-4da5-94c3-76a7016ee4b5
type B pancreatic cell,SRR3564337,GSM2174009 1,f3af8f79-f413-49a2-bb34-1fb6ffeba497
pancreatic A cell,SRR3564338,GSM2174010 1,0f224dce-c9c7-4ad7-894c-c7433043f16f
pancreatic A cell,SRR3564339,GSM2174011 1,4ec658ef-e4e2-4699-936f-cf7d9835b084
pancreatic A cell,SRR3564340,GSM2174012 1,5ad8bc77-39b4-4a87-95d3-72dde5b1345e
pancreatic A cell,SRR3564341,GSM2174013 1,a25e02d1-d78a-4046-9ba6-7e68c066a205
pancreatic A cell,SRR3564342,GSM2174014 1,a33e138d-6027-414b-80e5-51f5ccfd0e39
pancreatic A cell,SRR3564343,GSM2174015 1,3e151550-86a4-417f-9cdf-e3447e386287
pancreatic A cell,SRR3564344,GSM2174016 1,862af532-dcdd-4f6d-8336-63c76b8df0e0
pancreatic A cell,SRR3564345,GSM2174017 1,00eab6d7-6406-4772-98d8-4826d19c6817
pancreatic A cell,SRR3564346,GSM2174018 1,703286c5-9b35-4cb3-8526-a0aa2a8f1ac1
pancreatic A cell,SRR3564347,GSM2174019 1,0bb3df1d-5140-4de9-84c9-ee23a5992914
pancreatic A cell,SRR3564348,GSM2174020 1,937e53fd-8713-48fb-b0fb-d0132f0d65e0
pancreatic A cell,SRR3564349,GSM2174021 1,ba03927a-7fab-4f18-93a1-d676e9fb855a
pancreatic A cell,SRR3564350,GSM2174022 1,4bf796c0-9750-4c6a-a4df-363a9ced6102
acinar cell,SRR3564351,GSM2174023 1,7f6a053a-f74e-45e9-89aa-86ddf0adddea
pancreatic A cell,SRR3564352,GSM2174024 1,d33dba30-c4cf-41a0-a458-4199e04721e9
pancreatic A cell,SRR3564353,GSM2174025 1,958cc70a-931b-4b71-a777-3c4b46f7e504
pancreatic A cell,SRR3564354,GSM2174026 1,f478bf8c-4664-44e4-88f0-cdc87388f0e9
acinar cell,SRR3564355,GSM2174027 1,e1f49c6d-b6ed-430c-ad3f-b047b82845d5
acinar cell,SRR3564356,GSM2174028 1,25e98b7d-d7e1-4acc-a7af-26e967466866
mesenchymal cell,SRR3564357,GSM2174029 1,3f296a7d-a997-4ff7-ae28-6be66e77df73
pancreatic A cell,SRR3564358,GSM2174030 1,aec53933-95fb-40e3-8965-3b009f20721b
pancreatic A cell,SRR3564359,GSM2174031 1,1ea3966f-c288-411a-a9ce-d798623349a3
pancreatic A cell,SRR3564360,GSM2174032 1,46c44a55-1d46-4a63-9a36-a49170b0d62d
type B pancreatic cell,SRR3564361,GSM2174033 1,4d564243-3837-4500-9f45-5352c1a8c202
pancreatic A cell,SRR3564362,GSM2174034 1,a6b53692-5fdd-4735-a33c-fd25f8f36043
pancreatic A cell,SRR3564363,GSM2174035 1,86beef18-e3a1-48fd-9a6e-ae92cad1c55f
pancreatic A cell,SRR3564364,GSM2174036 1,32451393-876d-4ce2-bd74-5d65de3921e4
pancreatic A cell,SRR3564365,GSM2174037 1,2671b9c5-da2d-42b1-8a7e-95b503986eb7
pancreatic A cell,SRR3564366,GSM2174038 1,14cdb18c-89cd-45c5-b368-02499f6d7b2c
pancreatic A cell,SRR3564367,GSM2174039 1,4061e2a8-2ef8-4ee0-8ac1-75dc2b2907a4
acinar cell,SRR3564368,GSM2174040 1,7cbe7f02-89b9-432d-bec8-d99f36bd4966
pancreatic A cell,SRR3564369,GSM2174041 1,511109ea-3ec5-43fc-bc6d-4f42179a8920
acinar cell,SRR3564370,GSM2174042 1,c6a3166a-7db4-43e5-83c4-9e6d016cc354
pancreatic A cell,SRR3564371,GSM2174043 1,1ef6dba4-c97b-4dfc-9936-6453ce83dfdc
pancreatic A cell,SRR3564372,GSM2174044 1,222fa53f-5c83-4a9d-9d19-b076b0de63d2
pancreatic A cell,SRR3564373,GSM2174045 1,0b93d2eb-9a3d-4f0b-a9b9-9bb7af40ca25
pancreatic A cell,SRR3564374,GSM2174046 1,9ebefc39-35be-4af2-a3c9-a7f909c7b9a2
pancreatic A cell,SRR3564375,GSM2174047 1,9da859a2-f1cf-436f-9660-e96b64751b6d
pancreatic A cell,SRR3564376,GSM2174048 1,4fc35124-72a6-4e4e-b4f6-a4eb89c5f9c1
pancreatic A cell,SRR3564377,GSM2174049 1,1a52e7ac-4fc2-4a8d-b723-f4df425fa0fc
pancreatic A cell,SRR3564378,GSM2174050 1,59f19e84-acae-43a7-b8c0-83cf08170d08
acinar cell,SRR3564379,GSM2174051 1,7e6bea7f-8cf9-4197-9bf4-bcecd878b770
acinar cell,SRR3564380,GSM2174052 1,ec9819ba-1fdb-48bd-85b6-2f1cc465d863
pancreatic A cell,SRR3564381,GSM2174053 1,889c84b1-39e5-430a-ac94-122afa294faf
acinar cell,SRR3564382,GSM2174054 1,d106875e-f03e-4189-9302-b97fc894cc36
pancreatic A cell,SRR3564383,GSM2174055 1,5802cf60-30de-41bd-8362-5ece812520ef
type B pancreatic cell,SRR3564384,GSM2174056 1,40cc72c0-b993-42d8-b724-5e24aa364f87
pancreatic A cell,SRR3564385,GSM2174057 1,bf532728-ecbf-42b8-ada8-db0128da34b7
pancreatic A cell,SRR3564386,GSM2174058 1,c64458c3-fa6d-47bc-bf63-1c32f60799de
type B pancreatic cell,SRR3564387,GSM2174059 1,bbcf2c59-c302-4794-9f9f-b38156640f42
type B pancreatic cell,SRR3564388,GSM2174060 1,58622c52-16cb-4f6f-90d5-7a0a0437688a
pancreatic A cell,SRR3564389,GSM2174061 1,452b25e5-db0c-4899-8a19-b989e34fc4f4
acinar cell,SRR3564390,GSM2174062 1,1854cb30-ee8a-484b-8d11-0730adaa25ab
pancreatic A cell,SRR3564391,GSM2174063 1,8af6b222-9595-48f3-9fb3-29235e4eca3f
pancreatic A cell,SRR3564392,GSM2174064 1,53e68cb5-6f2a-4ef2-ac95-960576b4dcd6
pancreatic A cell,SRR3564393,GSM2174065 1,f6931413-c347-49ce-a658-eefc56951b1e
acinar cell,SRR3564394,GSM2174066 1,03d9102f-9962-4e53-817b-4a755137a748
pancreatic A cell,SRR3564395,GSM2174067 1,cc6a9c42-4127-4279-9789-d32bb3032831
not available,SRR3564396,GSM2174068 1,3e1c0684-891d-4ffe-a8c9-d19fed499696
pancreatic A cell,SRR3564397,GSM2174069 1,23be251a-d05a-4148-9347-4dbd7cc64ec0
acinar cell,SRR3564398,GSM2174070 1,01be974b-a5a4-4061-9696-c59865b07511
type B pancreatic cell,SRR3564399,GSM2174071 1,0ae5740f-905f-4b49-be37-87390d3a7048
pancreatic A cell,SRR3564400,GSM2174072 1,88bbb3a5-f627-4663-845e-17626d71ec5d
pancreatic A cell,SRR3564401,GSM2174073 1,ba29085e-be9b-4e0d-982d-7695e423593c
not available,SRR3564402,GSM2174074 1,c13deed3-2497-48d4-b8f8-4e67fd646497
not available,SRR3564403,GSM2174075 1,6303e6c2-22d3-4e53-8158-a126d4f38377
pancreatic A cell,SRR3564404,GSM2174076 1,aac7c62b-7266-4886-8243-bcb3773d901b
pancreatic A cell,SRR3564405,GSM2174077 1,fafa2bf5-fe45-4d5d-9629-7ec95094b31b
pancreatic A cell,SRR3564406,GSM2174078 1,4dacfb6b-042e-4086-bf2f-e8039ccc9539
type B pancreatic cell,SRR3564407,GSM2174079 1,77f45390-775a-4a86-9839-7f10fabf583d
type B pancreatic cell,SRR3564408,GSM2174080 1,083ed58f-4f0a-4629-9ba4-f16d5037e198
pancreatic A cell,SRR3564409,GSM2174081 1,7fd0583c-9c02-4fd4-be37-1d2f59fca748
pancreatic A cell,SRR3564410,GSM2174082 1,fbf28e48-19b5-4d3c-879c-f9409a47b68f
pancreatic A cell,SRR3564411,GSM2174083 1,9893ef9c-1037-4e00-8bb4-098c676ae3b9
pancreatic A cell,SRR3564412,GSM2174084 1,a67ae471-afbf-48e7-9219-8b62223d7138
pancreatic A cell,SRR3564413,GSM2174085 1,cad9b05f-45f3-4259-8292-0a915565500d
not available,SRR3564414,GSM2174086 1,5d63fafb-a314-42de-b052-f0624b31d444
type B pancreatic cell,SRR3564415,GSM2174087 1,be55b648-beb0-4cce-8df1-82ab6ad09c41
pancreatic A cell,SRR3564416,GSM2174088 1,7806c255-dfdf-46ab-b35a-6ca70e4a38bc
acinar cell,SRR3564417,GSM2174089 1,4363173c-11d9-4050-9309-df830ea476d4
pancreatic A cell,SRR3564418,GSM2174090 1,dfe47a03-b45e-4b9d-a0cc-74ce1bd825cf
pancreatic A cell,SRR3564419,GSM2174091 1,fc65dfd2-cafa-486e-a7f2-753c20d705a0
pancreatic A cell,SRR3564420,GSM2174092 1,53415087-dfe3-4887-9122-f4079f196931
pancreatic A cell,SRR3564421,GSM2174093 1,7a58c1c6-b020-422b-a2b7-3f3f7fd63cba
pancreatic A cell,SRR3564422,GSM2174094 1,c0fa9fe2-1ddf-4b91-97c7-9ff2cfab7130
acinar cell,SRR3564423,GSM2174095 1,570dcf75-9f2f-4a08-8d10-f8873fd0e068
pancreatic ductal cell,SRR3564424,GSM2174096 1,b5b69c38-a62e-4b34-b4dc-8d2443a69004
pancreatic A cell,SRR3564425,GSM2174097 1,30da6cb4-d43a-49fe-93aa-80084c87b5e0
acinar cell,SRR3564426,GSM2174098 1,99bda37a-c1ac-4dab-a923-1d28ca4d139e
acinar cell,SRR3564427,GSM2174099 1,f94d53a2-9284-4f13-b924-1343f76227bd
pancreatic A cell,SRR3564428,GSM2174100 1,7e49b93e-c9f6-447d-83cf-cc72940f1c52
pancreatic A cell,SRR3564429,GSM2174101 1,21764795-ed6f-4621-8b67-817bcccb8e30
type B pancreatic cell,SRR3564430,GSM2174102 1,6a8d8884-6ff0-4235-be73-98723ad037e6
type B pancreatic cell,SRR3564431,GSM2174103 1,1bc1d9a9-0fd3-49c1-a358-08294ca7d05a
acinar cell,SRR3564432,GSM2174104 1,be93a73c-59d8-4cc1-8610-0e8f0a824d73
acinar cell,SRR3564433,GSM2174105 1,7e24fd55-3308-4ff9-b8ea-b4d48b7d9cea
pancreatic A cell,SRR3564434,GSM2174106 1,1db054bd-b6bd-43e1-8dc5-2eb930ee3be5
acinar cell,SRR3564435,GSM2174107 1,b76b14e2-e0ce-4195-aedd-e1d78ad9b456
pancreatic A cell,SRR3564436,GSM2174108 1,06d2b828-e915-42f4-a703-30988d440cbb
pancreatic A cell,SRR3564437,GSM2174109 1,9fdacb46-4f6f-46a1-a11d-9083c1998ff6
pancreatic A cell,SRR3564438,GSM2174110 1,bed8a270-9757-42c4-8544-0ebc71a41b5d
acinar cell,SRR3564439,GSM2174111 1,9b9cb57d-f2b7-4b6b-92e7-4d42d01ed6b0
pancreatic A cell,SRR3564440,GSM2174112 1,4317cbb7-ed12-4d36-9b83-c718a3eaebcc
acinar cell,SRR3564441,GSM2174113 1,add6ae4e-e426-48d3-ab00-0e130087fec2
acinar cell,SRR3564442,GSM2174114 1,7e391c6c-aa16-4f91-90bb-6cd48588b629
pancreatic A cell,SRR3564443,GSM2174115 1,92b7a29f-b9ea-4a1c-aa7e-8f3c20fd9636
